"iteration","objective","best_so_far"
1,11,11
2,12,11
3,11,11
4,11,11
5,11,11
6,11,11
7,9,9
8,10,9
9,10,9
10,9,9
11,11,9
12,10,9
13,10,9
14,9,9
15,9,9
16,8,8
17,10,8
18,10,8
19,10,8
20,9,8
21,11,8
22,12,8
23,10,8
24,11,8
25,10,8
26,10,8
27,11,8
28,11,8
29,9,8
30,10,8
31,10,8
32,10,8
33,9,8
34,10,8
35,10,8
36,8,8
37,11,8
38,8,8
39,10,8
40,11,8
41,9,8
42,8,8
43,11,8
44,9,8
45,9,8
46,12,8
47,8,8
48,9,8
49,9,8
50,11,8
51,12,8
52,10,8
53,11,8
54,11,8
55,11,8
56,11,8
57,10,8
58,9,8
59,11,8
60,11,8
61,9,8
62,11,8
63,9,8
64,9,8
65,11,8
66,9,8
67,10,8
68,10,8
69,11,8
70,10,8
71,10,8
72,10,8
73,9,8
74,9,8
75,10,8
76,11,8
77,8,8
78,11,8
79,11,8
80,11,8
81,11,8
82,9,8
83,11,8
84,9,8
85,11,8
86,9,8
87,9,8
88,9,8
89,10,8
90,9,8
91,8,8
92,9,8
93,8,8
94,9,8
95,10,8
96,8,8
97,10,8
98,10,8
99,12,8
100,8,8
101,9,8
102,9,8
103,11,8
104,13,8
105,10,8
106,11,8
107,11,8
108,10,8
109,9,8
110,9,8
111,10,8
112,10,8
113,8,8
114,10,8
115,9,8
116,9,8
117,10,8
118,11,8
119,10,8
120,10,8
121,12,8
122,10,8
123,8,8
124,10,8
125,12,8
126,9,8
127,11,8
128,12,8
129,10,8
130,10,8
131,11,8
132,11,8
133,10,8
134,10,8
135,10,8
136,9,8
137,11,8
138,9,8
139,12,8
140,11,8
141,11,8
142,10,8
143,12,8
144,11,8
145,11,8
146,10,8
147,9,8
148,10,8
149,10,8
150,12,8
151,12,8
152,8,8
153,10,8
154,11,8
155,11,8
156,10,8
157,11,8
158,10,8
159,9,8
160,10,8
161,10,8
162,10,8
163,9,8
164,11,8
165,9,8
166,11,8
167,10,8
168,11,8
169,12,8
170,11,8
171,11,8
172,10,8
173,9,8
174,8,8
175,9,8
176,12,8
177,9,8
178,10,8
179,9,8
180,11,8
181,8,8
182,11,8
183,9,8
184,10,8
185,10,8
186,9,8
187,9,8
188,11,8
189,8,8
190,9,8
191,9,8
192,11,8
193,10,8
194,12,8
195,10,8
196,10,8
197,9,8
198,10,8
199,9,8
200,10,8
201,10,8
202,8,8
203,10,8
204,10,8
205,10,8
206,12,8
207,11,8
208,9,8
209,11,8
210,9,8
211,10,8
212,10,8
213,10,8
214,11,8
215,10,8
216,9,8
217,10,8
218,11,8
219,10,8
220,12,8
221,11,8
222,10,8
223,12,8
224,12,8
225,11,8
226,12,8
227,11,8
228,11,8
229,9,8
230,10,8
231,11,8
232,10,8
233,12,8
234,10,8
235,9,8
236,11,8
237,11,8
238,11,8
239,11,8
240,9,8
241,9,8
242,10,8
243,10,8
244,9,8
245,9,8
246,11,8
247,10,8
248,9,8
249,9,8
250,10,8
