"theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","theta_8","theta_9","theta_10","theta_11","theta_12","theta_13","theta_14","theta_15","theta_16","iteration"
1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.5,1e-08,1e-08,1e-08,1e-08,1e-08,1
1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,2
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,3
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,4
0.999,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,5
0.999,0.999,0.999,0.999,9.99999999994061e-09,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,6
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,7
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,8
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,9
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,10
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,11
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,12
