"instance","BO_coverage","GA_coverage","Diff","BO_runtime_min","GA_runtime_min"
1,839959.803466883,881224.235179099,-41264.4317122156,11.6051980177561,0.00344324906667074
2,852581.323176152,902072.373907468,-49491.0507313157,17.7730657021205,0.00373586416244507
3,858613.366940215,906190.074807222,-47576.7078670062,23.0654453992844,0.00307791630427043
4,843718.963469273,905985.073628676,-62266.1101594031,13.3076912323634,0.00375380118687948
5,859467.627368169,903015.766141189,-43548.13877302,15.2315643986066,0.00325991710027059
6,865280.83247836,904811.398327629,-39530.5658492693,12.4598026156425,0.00353916486104329
7,870847.03830074,904033.121697447,-33186.0833967068,14.822185699145,0.00332254966100057
8,833805.967652563,875848.212010364,-42042.2443578014,29.8460349837939,0.00366893212000529
9,874539.11743362,909813.221232641,-35274.1037990209,12.7312933484713,0.00433018604914347
10,847377.47994019,906629.298671517,-59251.8187313274,15.3555618842443,16.0301749984423
